datetime_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-11-26 02:00:00,4.0,687.6,0.0,11.48,118.73,10.37,53.1,59.34,6.27
2023-11-26 04:00:00,3.0,747.68,0.52,19.02,111.58,11.56,48.79,56.38,6.21
2023-11-26 06:00:00,4.0,660.9,1.36,12.51,124.45,9.66,52.31,60.1,5.57
2023-11-26 08:00:00,3.0,547.41,1.16,9.51,128.75,8.11,41.99,49.53,4.18
2023-11-26 10:00:00,4.0,607.49,0.89,10.71,134.47,7.75,50.18,58.99,3.96
2023-11-26 12:00:00,4.0,694.27,0.26,15.25,127.32,7.99,50.22,58.3,4.56
2023-11-26 14:00:00,5.0,1869.2,0.0,67.17,57.22,16.21,75.08,91.59,18.24
2023-11-26 16:00:00,5.0,2296.45,0.0,65.12,45.06,19.07,104.68,130.84,30.15
2023-11-26 18:00:00,5.0,1789.09,0.0,41.47,68.66,15.97,100.15,126.31,25.08
2023-11-26 20:00:00,5.0,1708.98,0.0,41.47,62.23,13.35,105.88,127.92,18.49
2023-11-26 22:00:00,5.0,1562.12,0.0,34.62,57.94,13.83,116.84,136.2,15.96
2023-11-27 00:00:00,5.0,1388.55,0.0,28.79,61.51,13.95,109.33,130.09,14.95
2023-11-27 02:00:00,5.0,2109.53,0.0,56.89,42.2,19.55,140.72,169.62,22.29
2023-11-27 04:00:00,5.0,4699.71,46.94,115.16,7.69,32.9,230.28,277.57,47.62
2023-11-27 06:00:00,5.0,3337.86,29.5,80.2,42.92,31.95,187.19,232.18,41.54
2023-11-27 08:00:00,4.0,881.2,2.1,16.28,125.89,14.42,67.86,84.47,8.74
2023-11-27 10:00:00,3.0,801.09,1.65,17.48,123.02,11.92,46.4,55.78,7.22
2023-11-27 12:00:00,4.0,814.44,0.38,22.96,110.15,12.76,54.91,64.82,7.22
2023-11-27 14:00:00,5.0,3631.59,18.1,120.64,1.42,27.89,139.94,170.89,36.48
2023-11-27 16:00:00,5.0,4913.33,46.04,112.41,0.0,35.76,230.03,287.21,63.33
2023-11-27 18:00:00,5.0,3364.56,4.36,89.11,6.97,29.8,184.5,240.76,46.61
2023-11-27 20:00:00,5.0,2002.72,0.0,52.78,50.78,21.46,122.74,162.12,21.03
2023-11-27 22:00:00,5.0,1388.55,0.0,27.42,71.53,15.02,109.54,141.0,14.31
2023-11-28 00:00:00,5.0,1361.85,0.0,23.99,70.81,15.5,111.63,139.02,14.57
2023-11-28 02:00:00,5.0,1976.01,0.0,48.67,47.21,20.27,136.85,163.31,21.28
2023-11-28 04:00:00,5.0,4859.92,49.62,112.41,6.44,34.81,243.54,285.36,49.65
2023-11-28 06:00:00,5.0,4165.65,40.23,100.08,34.33,37.19,227.59,273.72,49.65
2023-11-28 08:00:00,5.0,854.49,1.69,15.59,140.19,18.36,92.75,106.97,7.41
2023-11-28 10:00:00,4.0,794.41,1.93,18.34,120.16,15.97,58.67,67.5,7.54
2023-11-28 12:00:00,4.0,921.25,0.66,26.73,104.43,17.4,59.37,71.78,8.23
2023-11-28 14:00:00,5.0,3578.19,14.75,123.38,1.88,29.56,139.94,176.42,34.45
2023-11-28 16:00:00,5.0,5233.76,49.17,122.01,0.0,36.72,255.04,319.22,65.86
2023-11-28 18:00:00,5.0,6248.47,64.37,117.9,0.0,38.15,348.48,428.25,82.08
2023-11-28 20:00:00,5.0,4806.52,49.62,98.71,0.0,25.99,250.33,308.56,45.09
2023-11-28 22:00:00,5.0,2590.18,8.38,62.38,1.17,18.84,162.48,198.83,26.09
2023-11-29 00:00:00,5.0,1815.8,0.02,37.01,27.18,16.93,140.66,167.01,20.77
